Actual,Predicted,BLEU Score
"Paulo Dybala is being tracked by Manchester United, Chelsea and Arsenal Inter Milan, Juventus and Paris Saint-Germain are among others interested Inter boss Roberto Mancini was spotted at the Palermo match on Sunday Palermo president Maurizio Zamparini is demanding Â£36m from PSG READ: Dybala says he would love a Serie A stay ","Maurizio Zamparini has slapped a price tag on Paulo Dybala, telling PSG they will have to spend big to sign the 'new Lionel Messi'Parma president Maurizio Zamparini has slapped a price tag on Paulo DybalaBarcelona fans who want to sell himPalermo are determined to cash in on Dybala as he is wanted by some of Europe's biggest clubs",1.0306080535926808e-231
"Main roads in Holborn are closed more than 24 hours after fire broke out More than 1,000 buildings remain without power as a result of the blaze Local businesses, government offices and tourist attractions are closed Commuters have been warned to avoid the area as witnesses describe long queues of buses ","London Fire Brigade said it was'very disappointed' that the fire had not been put outs battle to put out the fire in central LondonLondon Underground services were running normallyKingsway Service Tunnel is a major part of the London Underground networkUK Power Networks is responsible for the fireGas Fire in the tunnel is still under investigationLondon Fire Brigade spokesman said: 'The fire is still burningLondon's main roads were closed overnightLondon Fire Brigade's responsibility for the incident,' he saidLondon's pavements up to scratch and we want to see better investment in the capital's infrastructureinvolving electrical faults in the past yearLondon fires, the blaze was spotted by a lorry driver on the A1 at about 08:00 GMTLondon Fire Brigade said: 'It's a very scary sceneWest End theatres to help with the blaze, which was spotted by a passenger on the TubeA fire crew was called to a fire on a unit in north London",8.577857343287665e-232
Boca Juniors defeated Palestino 2-0 with two late second-half goals Leandro Marin and Jonatan Calleri were both on the scoresheet Boca now face arch rivals River Plate in the Copa Libertadores last 16 ,"Group Five with a 100% recordBoca Juniors beat Palestino 2-0 in the Copa Libertadores The Chilean side will now face arch rival River Plate in the last eightBoca's first goal came in the 71st minute, when he slid home a low shot from the edge of the boxBrazil's home soilNilmar scored for Internacional as they thumped Universidad de Chile 4-0",1.0964477028044392e-231
Gianni Paladini has registered as director of Bradford's holding company The Italian has been searching for new club since leaving QPR in 2011 Paladini made attempt to buy Birmingham and has been linked with Millwall ,"Leeds fans' favourites for yearsChelsea, who were beaten 4-2 by BradfordMark Lawn)Italian entrepreneur Mauro Milanese into a partnership with the Italian, he has also been attempting to buy Birmingham City from Carson YeungBradford City to the play-offs, but he has not yet confirmed if he will be re-signingft his role at Loftus Road in 2011 following the takeover by Tony Fernandes",1.0356753216832462e-231
Lee Tomlin's superb solo effort gave Middlesbrough a 50th minute lead Patrick Bamford doubled the hosts lead on 66 minutes Bamford could have made it 3-0 but saw his penalty saved late on Win moves Middlesbrough on to 78 points in the Championship in fourth ,"Middlesbrough's 2-0 win over Rotherham UnitedMartinez, Hunt, Broadfoot, Wood, Lafferty, Smallwood, Arnason)Boro, with a sloppy finish from a corner and a sloppy finish from a cornerTomlin's second goal came in the 74th minute when he slid a shot past Martinezstanzas, but the ball was cleared off the line by MartinezPatrick Bamford snatched the ball awayMartinez was unable to prevent the visitors from extending their lead with a last-minute equalisere on loan Chelsea star fails to add to his tally",1.0028554754030843e-231
"James May reveals he celebrated prematurely by ordering Â£200,000 Ferrari Lucrative contract was in a draft form with only a few details to resolve But offer was taken away after Clarkson's infamous 'fracas' with producer May said trio planned to continue making show before leaving 'with dignity'","Top Gear deal was 'completely scuppered' by Clarkson's punchTop Gear t-shirtClarkson and Hammond were sackeda long time, but the show has been a huge success and has been a huge success for the BBCMay said: 'It was a dream come trueHammond, he's not a fan of Top Gearpursuing charges'James May (centre) and his wife, Phyllis (right), have been married for more than 50 years",1.0418505392276384e-231
Steven Finn was left out of the England squad for the West Indies tour The Middlesex quick bowler has regained form after a tough 12 months Finn said he's back to bowling like he was as 'a carefree 21-year-old'His last of 23 Test caps came for England back in 2013 ,"England's Steven Finn has rediscovered the form that made him one of the most exciting fast-bowling prospects in EnglandFinn has done for the last couple of years, so we’re looking forward to seeing itEngland are struggling to find pace bowlersEngland is a big step upWaitrose will also be sponsoring the club’s Club Open Day, which will take place on the first weekend of June",1.0127415102311954e-231
Tom Lineham scored two interception tries in an eye-catching display Jamie Shaul also crossed late on for the home side Kevin Brown and Patrick Ah Van replied for Widnes ,Widnes's favour for the rest of the seasonHullHull tryHull defenders slammed into the back of the lineHanbury was the victim of a Hull defender's tackle on the Hull wingerHull's last-gasp trya scream,1.1056966543561617e-231
"Current federal government guidelines dictate the people should limit their salt intake to 2,300 milligrams Scientists now believe a typical healthy person can consume as much as 6,000 milligrams per day without significantly raising health risks The same skeptics also warn of the health risks associated with consuming less than 3,000 milligrams Average American ingests about 3,500 milligrams of salt per day ","e heart diseaseAmericans should consume less saltAmericans - can lead to heart disease, obesity and diabetes, they disagree on how to reduce the amount of salt people should eatsalttration of salt intake were less likely to have high blood pressureAmerican should be able to get enough sodium,' he saidAmerican Heart Association: 'Salt intake is a major contributor to high blood pressure,' says Suzanne Oparil",9.703777821901946e-232
The men are current or former Florida prison guards They are charged with one count of conspiracy to commit murder ,Florida Attorney General's office saidWThe three men are now facing up to 30 years in jail if convicted of one count each of conspiracy to commit murder,1.2143048797384347e-231
Ex-Liverpool boss told he would need to see a dietician before appointment Benitez was often mocked as a 'fat Spanish waiter' during his Anfield reign Ferrero addresses talk of job swap with Sinisa Mihajlovic heading to Napoli Mihajlovic has guided Sampdoria to the brink of European qualification ,"Sampdoria fans, who have been chanting 'Goodison Pa' for the past two yearsNapoli managerBenitez side,' he saidFerrero's side's squad for the World Cup qualifier against the United States on Saturday'It's a good day for the players,' he said",1.132608164909148e-231
"Ex deputy PM said there was no problem with Charles writing to ministers Admitted Charles had sent him a lot of letters while he was in government Released two, including oneÂ condolenceÂ letter over death of his mother Comes after court ruled Charles's letters to ministers should be published ","Prince Charles to be able to write to ministersCharles as a'very good guy', he was 'not a raving loyalist'Charles's 'incredible' interest in the'stunning''stunning'Prince's mother's deathLabour, but I didn't receive any letters from him when I was in the Chancellor's officeblack inkPrince Charles's notes were seized by the Crown Prosecution Service in April",9.954563149165904e-232
"Zimbabwe have reportedly agreed to visit Pakistan for ODI series in May Pakistan have not played host to major cricket series since 2009 There have been security fears since Sri Lanka were victims of terror attack Team bus was targeted by gunmen in Lahore, and eight people were killed ",Pakistan's bus after the attack on Sri Lanka's team bus in 2009Pakistan and PakistanZimbabwe and said he would like to play cricket in PakistanPakistan will also be able to host the Pakistani team in Lahore,1.115940444872597e-231
Fifty top fashionistas all posted photos of the same Lord & Taylor dress on Instagram at the weekend The retailer has admitted that the bloggers got 'unspecified compensation' to lend their credability and give the dress their seal of approval The ploy proved an instant success as the $88 Paisley Asymmetrical Dress sold out and created an online buzz for the entire Design Lab collection The deal highlights the gray area of bloggers failing to disclose when they've received payment for promoting some goods and services ,"Instagram users to model the dressLord & Taylor dress was a hit with fashionistasLord & Taylor was to get the word out about the new line and to get the word out about the new line’Lord & Taylor's upcoming collectionProm dressesKevin Hart's movie, you need to have a lot of followersLord & Taylor has also admitted it paid the bloggers to promote the dress on social media",9.866431003065034e-232
Englishman Danny Willett blasts timing referee for getting in line-of-sight Vented anger at official as he bogeyed the 17th at 2015 Masters Willett carded a one-under 71 on opening round in first time at Augusta ,Danny Willett for the first timeDanny Willett's team and we were playing wellWillett was left frustrated with a rules official for getting in his line-of-sight during his round The 27-year-old is playing in his first Masters,1.0832677820940877e-231
Tinder only displays the last 34 photos - but users can easily see more Firm also said it had improved its mutual friends feature ,Facebook profile will display the latest picturesInstagram username in your profile'Instagram integration - and now shows friends of friends as well as more interestsTinder spokesperson said: 'We are excited to announce that we are launching a new feature that will help you find the perfect match'GlobalWebIndex saidTinder Plus users are paying for the serviceTinder Plus for the first timeTinder Plus if they are not interested in a relationshipi'm not sure if they were a good deal or not,9.276121650391853e-232
Nathaniel Clyne has been in impressive form for Southampton this season Full back has been linked with a move to Manchester United this summer Clyne admits he is ambitious and wants to play in the Champions League ,Manchester United's charity event in the summerNathaniel Clyne has impressed for Southampton this season and has been linked with move awayRonald Koeman has admitted it may be hard to keep Clyne at Southampton this summer,1.1058356046138881e-231
"Mike Heatlie, 42, punched Fiona McCartney outside Edinburgh nightclub She is facing Â£7,000 dental bill and says she is too scared to leave home Heatlie pleaded guilty atÂ EdinburghÂ Sheriff Court to attacking 43-year-old Stefani previously described trainer as a 'tireless, wonderful motivator'","Heatlie as a'stupid, snobby, snobby, snobby, snobby, snobby'Edinburgh Sheriff Court, Mr Heatlie said: 'I am sorry to have caused such a terrible injury to Fiona McCartneyGlasgowcigaretteHeatlie and McCartney are happy to work togetherHeatlie in anything beforeHeatlieivator",1.0901460182896916e-231
"Selina Dicker, 38, from Fulham, London, survived Mount Everest avalanche Climber ran for her life as a wall of snow and ice tore through Base Camp She was in same group as Google executive Dan Fredinburg who died Amanda Holden's said sister survived because she had altitude sickness ","Base Camp as the avalanche, which swept through the mountainsideSherpa and she's a great climberDicker's mother said: 'She's a very brave girl and she's a very brave girla bit worried about the safety of the base camp'British social media was that a British man was'so lucky to be alive'Everest base camp on Saturday morningAlex'said she was going to have a glass of wine'avalanchemedical assistance'The trekkers have been contacted by a group of people who have managed to get in touch with them'was thrown off the roof of the house', said: 'It was just awfulThe couple were reportedly travelling to the Himalayas for a holidayAnn McNeil, who was a'very bright and talented' studentMike RussellDebbie was'very lucky' to survive the avalanchealtitude sickness",8.72896751811523e-232
"Sawyer Burmeister, a horse-riding champion and sometimes actress, tweeted the barb on Thursday evening Second Twitter used forwarded it to Donald Trump, the real estate titan who's a possible Republican presidential candidate A Trump social media employee â€“ one of TEN on his staff who help with Twitter and other platforms â€“ retweeted the message Trump deleted it, but the Internet is forever ","Donald Trump's staffers retweeted the messageHillary Clinton's'stupid' jokesWhite House relationship with Donald Trump has been strained by the fact that he has a'very strained relationship with his wife'Bill Clinton's 'friends'Taylor BurmeisterDonald Trump a'stupid' tweetBurmeister, I'm sure you'll find a lot of 'Dallas'-style equestriansHillary Clinton's campaign has not responded to the request for comment",9.835603903418364e-232
Aston Villa teenager Jack Grealish was pictured taking 'hippy crack'Grealish was in impressive form in Aston Villa's win over Liverpool Villa boss Tim Sherwood has warned Grealish over his future behaviour ,Liverpool in the Premier League last season but has not made it to the top flightJack is a great playerGrealish has been a great player for Liverpool and we are looking forward to seeing him continue to develop,1.0909238611093853e-231
"Four Turkish troops were wounded in the flight, according to the country's military Turkey President  Recep Tayyip Erdogan says clashes are attempt to halt a resolution process with Kurds Violence between Kurds and the Turkish military has been ongoing for more than three decades ","Kurds have been fighting Turkish forces in the region for more than a decadeTurkish government to release himKurdish rebels: The Kurdish rebels have been fighting for more than three decades for independence from TurkeyKurdish leaders have been incarcerated for decades, and the government has a long history of repression",9.711530817063583e-232
"Geologist ran 150 chemical tests on ossuaries and 'Jesus Family tomb'Claims chemical signature proves James Ossuary was at Jerusalem site Chalk box bears inscription â€˜James, son of Joseph, brother of Jesusâ€™Find suggests Jesus fathered a child and was married ","James Ossuary was found in the tombJerusalem’s long-held belief that the tomb was a place where Jesus was buriedJesus was a common name in the areaJerusalem’s East Talpiot neighbourhoodJames to be the brother of Jesus'can be used to determine the authenticity of the inscription'Oded Golan’s tomb and found the inscriptions were not forgeriesJewish name for the soilTalpiot inscriptionJesus Christ was not a real person and is probably the result of a combination of stories about several different individualDavid FitzgeraldJesus was not realChristian mystery faith that is a cult, and it is a mystery faith that is a cultChristianityJesus was the only one who could be regarded as a messiahNazarethIsrael's national monuments lawJames Ossuary is kept in a secret location by its owner, who lives in Tel Aviv",8.536647426279108e-232
"Original 1959 Barbie has been reproduced and goes back on sale April 11 Myer have teamed up with Mattel to re-release the iconic doll in Australia The first 500 dolls will be sold for the original 1959 price of $300 The dolls will be sold for $3495 after the promotional priced ones are gone Promotion is at Sydney, Melbourne, Brisbane, Perth, Adelaide City stores ","Myer stores will be able to purchase the dolls for $300 eachNew York Toy Fair in 1959Barbie to the next generationBarbie for $300'Barbie's Australian launch coincides with the launch of the Barbie World Tour, which will take place in Sydney from April to June",1.1491569466658927e-231
Nicola Sturgeon will today unveil SNP manifesto as a 'bid to lead the UK'Several of her party's election pledges will overlap with Labour policies Others are calculated to drag a minority LAbour government to the left These include cancelling Trident and halting Tory changes to benefits ,"Labour’s plans to cut the size of the tax-free state by a thirdLabour has a'stunning' manifesto, which includes a pledge to cut the deficit by a third by 2020Nicola Sturgeon has said she is ‘very confident’ that the SNP will win the next electionLabour scrutinyScotland's independence scuttledScotland, have lost their seatsWestminster election campaign were ‘not going to be able to afford to pay for the snooze’Scotland should be left out of the decision’Scotland’s budgets cut by a third in the next decadeve a £76billion black hole in its finances",9.456608759022988e-232
"Survey of 1,000 firms showed half are less inclined to recruit obese people Believe they are 'lazy' and 'unable to fulfil their roles as required'Comes after European court ruled obesity is a disability after 25st Danish childminder claimed he was sacked by local authority because he was fat Specialist furniture such as larger chairs Parking spaces next to the workplace Dietary advice to overweight staff Gym memberships Opportunities to work from home ","British, said: 'It's a shame that so many people are overweight and lazyBritish employers to force employers to hire obese workersobese people is between 30 and 40– could be a form of torture"" of people who are overweight'It is a 'disaster' for the overweight to be able to work,' she saidEuropean judges ruled that obesity qualified as a disabilityObesity Awareness Day, which is held every year in the UKioned",1.030054469005851e-231
Lazio closed the gap on leaders Juventus with 4-0 thumping of Empoli Win sees Lazio leapfrog rivals Roma into second place 12 points off Juve Napoli smashed three past Fiorentina to comfortably regain fourth place Palermo earned just their second away win of the season with Udinese win ,Lazio's second goal in the second halfLazio's second goal of the gameMarek Hamsik (left) celebrates scoring a late goal against FiorentinaPalermo's long wait for a second away win came to an end with a 3-1 win at UdineseAtalanta's 1-0 win over Sassuolo was their first away win of the seasonolo in Bergamo,1.0894304642327885e-231
"Number and seriousness of Australians facing death penalty in China is 'unprecedented'That's according to a high-level ministerial briefing obtained by Daily Mail Australia under freedom of information laws Many Australians arrested were caught in Guangzhou province - a production hub of the drug 'ice'As many as 11 were arrested in Guangzhou alone in 2014 A prominent jockey and four other citizens are known to be potentially facing death row, including Kalynda Davis's former partner Peter Gardner Ms Davis, 22, was freed without charge in December after a month spent in a Chinese prison Do you know more? DanielPiotrowski@mailonlinecom ","China has a history of executing foreign nationals for drug smugglingChina has a history of smuggling drugs into the countryChinese citizen'Australians were 'involved in the investigation', the document saidDaniel Piotrowski (left) and his friend Ibrahim Jalloh (right) were arrested at Guangzhou Airport in July over alleged drug crimesAustralian had in the relationship between the twoAustralia, said she was'very disappointed' with the outcome of the caseChina's Ministry of Justice said the case was being investigated by the Chinese authoritiesAustralia's Foreign Minister has said he will not be'seen' by the UN",9.192889299397228e-232
"UEFA will make a decision on September's match on May 21 Scotland are set to face Georgia in Tbilisi on September 4 UEFA has openedÂ disciplinary proceedings against the Georgian Football Federation following recent crowd trouble Georgia fans twice invaded the field of play during Sunday's 2-0 defeat to Germany in Tbilisi Scotland currently sit third in Group D, a point behind leaders Poland ","Georgia's stadiumGeorgia's fans to leave the stadium before the matchGeorgian football leagueGeorgia are fifth in the table, with just one win from five games",1.1373571502473064e-231
"Arsenal have shown an interest in Liverpool forward Raheem Sterling However Sterling's recentÂ behaviour has troubled Arsenal's hierarchy Sterling has been caught smoking shisha and inhaling nitrous oxide Man City, Man United and Chelsea are monitoring Sterling's situation READ: Real Madrid ARE keen on signing Sterling, says Zinedine Zidane READ: Sterling pictured AGAIN with shisha pipe this time with Jordan Ibe ",Liverpool's winger SterlingArsenal manager Arsene Wenger has defended Sterling's decision to hold an interview without Liverpool's permissionArsenal and Chelsea are also interested in SterlingChelsea are monitoring Sterling's contract talks closely,1.0560510463147905e-231
"Francis Coquelin superb in protecting Arsenal back four at Turf Moor Tom Heaton does well in goal for hosts, but Arsenal keep winning Ben Mee puts in excellent display at full back for Burnley despite loss ",Burnley were unable to get a goalbBurnley's Ashley Barnes is a talisman in the middle of the parkBurnleyBarnesAaron Ramsey was the man to beat in the first half as Arsenal dominated the gameAaron Ramsey's goal was a stunning finish from the edge of the boxOlivier Giroud was unable to add to his six-game run of goalscoring at Turf Moor,1.0198868428935033e-231
Robin van Persie has been linked with a move from Manchester United Holland international's son Shaqueel has been showing off his skills The Dutchman's son scored with a scorpion kick made famous by Colombia keeper Rene Higuita ,Robin van PersieRene Higuita and then kicking the ball into the netManchester United forward a fee of up to £5millionManchester United fans believe he is a player who can be a big asset to the clubll scored 10 goals in the Premier League,1.1128835475779667e-231
"Rita, 24, has designed range for adidas Originals Designs are inspired by Asian culture, she tells FEMAIL Star says she's excited to see what the future holds for her ","Kosovan singer herselfsacked by the end of the dayRimmel model to create a range that is as bold and vibrant as the brand itselfThe brand is based in London and has a range of clothing for men and womenBritish, but I’ve always been a fan of the American brandRita is a very busy woman, she has a very busy lifeThe Voice coach has been a huge success with her projects and has a huge followingRicky at a party, rightkate moss, right",9.655143553231126e-232
The 1961 Ferrari 250 GT SWB California Spider is regarded by many as the most beautiful convertible ever made It is the same model that was famously  crashed into aÂ ravineÂ in the 80s cult classic filmÂ Ferris Bueller's Day Off Convertible - which doesÂ 0-60mph in less than 7 seconds - is going to auction and is expected to reach Â£10million ,"Matthew BroderickFerris Bueller's Day Off's mascotFerrari's most famous cars is the red model for the 1986 film Ferris Bueller's Day OffFerrari restoration, has a bespoke interior and a bespoke engineRM Sotheby's to sell it for a record £8mFerrari is a rarity in the world of sports carsDelon's cars are a great example of the'sporty' look of the 1970sFerrarisFerrari's greatest assetThe car is a classic, and the interior is a classic, tooInsideMatthew Broderick (left) and Alan Ruck (right) are pictured with the Ferrari",9.81643662068717e-232
